yearID,lgID,tot_bases_league,tot_at_bats_league,league_wide_SLG,DH_status
2024,NL,33172,82127,0.40391101586567146,DH
2024,AL,32175,81560,0.394494850416871,DH
2023,AL,33903,82324,0.411824012438657,DH
2023,NL,34192,82094,0.41649816064511413,DH
2022,AL,32056,81816,0.39180600371565466,DH
2022,NL,32490,81649,0.3979228159561048,DH
2021,AL,33729,81337,0.41468212498616863,DH
2021,NL,32792,80604,0.4068284452384497,No DH
2020,AL,12274,29631,0.4142283419391853,DH
2020,NL,12382,29399,0.42117078812204495,No DH
2019,NL,35792,83094,0.43074108840590175,No DH
2019,AL,36676,83557,0.43893390140861926,DH
2018,NL,33365,82722,0.403338894127318,No DH
2018,AL,34366,82710,0.41549993954781766,DH
2017,NL,34915,82533,0.423042904050501,No DH
2017,AL,35602,83034,0.4287641207216321,DH
2016,AL,35054,82926,0.4227142271422714,DH
2016,NL,34052,82635,0.41207720699461486,No DH
2015,NL,32808,82652,0.39694139282775975,No DH
2015,AL,34145,82836,0.41220000965763676,DH
2014,AL,32428,83123,0.39012066455734273,DH
2014,NL,31560,82491,0.38258719132996327,No DH
2013,NL,32126,82690,0.38851130729229655,No DH
2013,AL,33716,83380,0.4043655552890381,DH
2012,AL,31826,77437,0.41099216136988775,DH
2012,NL,35154,87814,0.40032341084565104,No DH
2011,AL,31644,77586,0.4078570876189003,DH
2011,NL,34474,88119,0.39122096256199,No DH
2010,NL,35101,87886,0.3993923946931252,No DH
2010,AL,31510,77467,0.40675384357210165,DH
2009,NL,35915,87884,0.40866369304992944,No DH
2009,AL,33370,77965,0.4280125697428333,DH
2008,AL,32812,78119,0.4200258579858933,DH
2008,NL,36580,88595,0.4128901179524804,No DH
2007,NL,37819,89489,0.4226106001854977,No DH
2007,AL,33102,78294,0.4227910184688482,DH
2006,NL,37977,88844,0.427457115843501,No DH
2006,AL,34293,78497,0.43687019886110295,DH
2005,AL,33193,78215,0.42438151249760275,DH
2005,NL,36488,88120,0.41407172038129825,No DH
2004,NL,37484,88622,0.42296495226918823,No DH
2004,AL,34106,78731,0.4331965807623427,DH
2003,AL,33484,78311,0.4275772241447562,DH
2003,NL,36889,88426,0.4171736819487481,No DH
2002,AL,32995,77788,0.42416568108191494,DH
2002,NL,35996,87794,0.41000523953800944,No DH
2001,AL,33450,78134,0.42811068164947397,DH
2001,NL,37472,88100,0.42533484676503974,No DH
2000,AL,34825,78547,0.4433651189733535,DH
2000,NL,38305,88743,0.43163967862253927,No DH
1999,NL,38202,89011,0.42918290997741854,No DH
1999,AL,34311,78126,0.4391751785577145,DH
1998,AL,33837,78416,0.43150632523974697,DH
1998,NL,36383,88700,0.41018038331454343,No DH
1997,NL,31666,77203,0.4101654080799969,No DH
1997,AL,33495,78235,0.42813318847063336,DH
1996,NL,31708,77711,0.4080246039814183,No DH
1996,AL,35195,79090,0.4449993678088254,DH
1995,AL,29686,69522,0.42700152469721814,DH
1995,NL,28138,69049,0.40750771191472723,No DH
1994,AL,23959,55198,0.4340555817239755,DH
1994,NL,22829,55068,0.41456018014091667,No DH
1993,AL,31598,77506,0.4076845663561531,DH
1993,NL,30909,77489,0.3988824220211901,No DH
1992,AL,29702,77147,0.3850052497180707,DH
1992,NL,24209,65748,0.36820891890247615,No DH
1991,AL,30640,77603,0.39483009677460923,DH
1991,NL,24354,65365,0.37258471659144804,No DH
1990,NL,25257,65968,0.38286745088527774,No DH
1990,AL,29767,76800,0.3875911458333333,DH
1989,AL,29550,77004,0.383746298893564,DH
1989,NL,24035,65817,0.36517920901894646,No DH
1988,NL,23772,65563,0.3625825541845248,No DH
1988,AL,30078,77005,0.39059801311603143,DH
1987,NL,26743,66276,0.4035095660570946,No DH
1987,AL,33111,77819,0.42548734884796774,DH
1986,NL,24977,65730,0.37999391449870684,No DH
1986,AL,31563,77376,0.4079171836228288,DH
1985,NL,24603,65818,0.37380351879425083,No DH
1985,AL,31334,77257,0.4055813712673285,DH
1984,AL,30990,77910,0.39776665383134385,DH
1984,NL,24348,65919,0.36936239930824194,No DH
1983,AL,31179,77821,0.4006502100975315,DH
1983,NL,24696,65717,0.37579317376021426,No DH
1982,AL,31337,77886,0.4023444521480112,DH
1982,NL,24695,66263,0.37268158700934156,No DH
1981,AL,18931,50813,0.37256213960994233,DH
1981,NL,15887,43654,0.3639299949603702,No DH
1980,AL,31085,77888,0.3990987058340181,DH
1980,NL,24817,66272,0.37447187349106714,No DH
1979,NL,25432,66088,0.3848202396804261,No DH
1979,AL,31325,76704,0.4083880892782645,DH
1978,NL,24209,65156,0.3715544232304009,No DH
1978,AL,29393,76411,0.38466974650246694,DH
1977,AL,31307,77275,0.4051374959560013,DH
1977,NL,26443,66700,0.39644677661169414,No DH
1976,AL,23708,65711,0.3607919526411103,DH
1976,NL,23767,65814,0.3611237730574042,No DH
1975,NL,24398,66102,0.36909624519681705,No DH
1975,AL,24776,65371,0.37900598124550644,DH
1974,AL,24533,66044,0.3714644782266368,DH
1974,NL,24283,66212,0.3667462091463783,No DH
1973,AL,25281,66276,0.381450298750679,DH
1973,NL,24839,66087,0.37585304220194593,No DH
1972,AL,21168,61712,0.3430127041742287,No DH
1972,NL,23012,63116,0.3645985170162875,No DH
1971,NL,24146,65903,0.3663869626572387,No DH
1971,AL,23537,64641,0.36411874816293066,No DH
1970,NL,26051,66465,0.3919506507184232,No DH
1970,AL,24880,65675,0.3788351732013704,No DH
1969,AL,24208,65536,0.369384765625,No DH
1969,NL,24268,65751,0.36908944350656264,No DH
1968,AL,18221,53709,0.3392541287307528,No DH
1968,NL,18737,54913,0.34121246335111904,No DH
1967,NL,19991,55026,0.36330098498891433,No DH
1967,AL,19036,54179,0.35135384558592814,No DH
1966,AL,19937,54082,0.36864391109796235,No DH
1966,NL,21259,55385,0.3838403899972917,No DH
1965,AL,20075,54362,0.36928369081343587,No DH
1965,NL,20714,55377,0.3740542102316846,No DH
1964,NL,20680,55284,0.3740684465668186,No DH
1964,AL,21065,55180,0.38175063428778544,No DH
1963,AL,20894,55011,0.37981494610168876,No DH
1963,NL,19941,54803,0.3638669415907888,No DH
1962,AL,21762,55239,0.3939607885732906,No DH
1962,NL,21781,55449,0.39281141228876987,No DH
1961,NL,17066,42128,0.4050987466767945,No DH
1961,AL,21673,54904,0.3947435523823401,No DH
1960,NL,16361,42176,0.38792204097116845,No DH
1960,AL,16215,41838,0.38756632726229745,No DH
1959,AL,16118,41964,0.3840911257268135,No DH
1959,NL,16928,42330,0.3999055043704229,No DH
1958,AL,15969,41684,0.3830966318011707,No DH
1958,NL,17074,42143,0.40514438934105307,No DH
1957,AL,16052,41987,0.3823088098697216,No DH
1957,NL,17159,42919,0.3997996225447937,No DH
1956,NL,16776,41849,0.40086979378240817,No DH
1956,AL,16548,42007,0.39393434427595403,No DH
1955,AL,15935,41817,0.381065117057656,No DH
1955,NL,16998,41773,0.4069135566035477,No DH
1954,NL,17106,42027,0.40702405596402313,No DH
1954,AL,15646,41909,0.37333269703405,No DH
1953,AL,16232,42358,0.3832097832758865,No DH
1953,NL,17538,42639,0.4113135861535214,No DH
1952,NL,15651,41878,0.3737284493051244,No DH
1952,AL,15466,42317,0.36547959448921236,No DH
1951,NL,16640,42704,0.38965904833270887,No DH
1951,AL,16154,42361,0.3813413281084016,No DH
1950,AL,17068,42407,0.4024807225222251,No DH
1950,NL,17010,42416,0.401027913994719,No DH
1949,AL,15787,41669,0.37886678346012626,No DH
1949,NL,16617,42711,0.38905668329001897,No DH
1948,NL,16165,42256,0.3825492237788716,No DH
1948,AL,16088,42155,0.3816391887083383,No DH
1947,NL,16566,42434,0.3903944949804402,No DH
1947,AL,15308,42002,0.36445883529355744,No DH
1946,NL,14964,42094,0.355490093600038,No DH
1946,AL,15381,42239,0.36414214351665525,No DH
